Timestamp,Raw Data
2026-07-26 21:54:23,"5708988,-0.01,-3.14,0.00,0.00,0.00,0.00,5.71"
2026-07-26 21:54:23,"5713560,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5718124,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5722692,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5727252,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5731820,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5736380,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5740948,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5745520,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5750084,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5754644,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5759208,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5763780,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5768348,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5772920,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5777480,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5782040,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5786596,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5791176,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5795740,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5800304,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5804864,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5809428,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5814000,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5818560,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5823124,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5827692,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5832256,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5836816,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5841380,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5845932,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5850504,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5855072,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5859644,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5864204,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5868768,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5873336,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5877904,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5882472,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5887032,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5891588,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5896148,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5900716,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5905280,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5909840,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5914400,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5918960,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:23,"5923524,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5928084,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5932648,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5937208,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5941772,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5946324,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5950884,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5955448,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5960008,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5964568,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5969128,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5973692,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5978252,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5982816,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5987376,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5991940,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"5996496,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6001064,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6005628,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6010188,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6014748,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6019312,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6023876,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6028436,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6033000,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6037560,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6042128,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6046680,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
2026-07-26 21:54:24,"6051252,-0.01,-3.14,0.00,0.00,0.00,0.00,0.00"
